,Doc Number,Type,Entity,Entity Name,Vendor,Amount,Begin Date,End Date,0,url
10,24385,CN,051,University of Nebraska Lincoln,AA LEUPOLD AGREEMENT PAINT ABBOTT SPORTS COMPLEX,"$1,040.00",07/07/2014,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=CcuAqMu09GjZHqnK1l3Phw%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=mxccDIyEU1GelUiRJcWggwhsj3yuRMXbGvWnG4T173G0jamTLiefkHWcgB9e%2Bo28a2GFKyS1mzYvmSvwtvpOgg%3D%3D
11,24420,CN,051,University of Nebraska Lincoln,AA LEUPOLD AGREEMENT W STADIUM STUDENT LIFE CENTER,$510.00,09/08/2014,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=BYVPbUuMcw0MeHg8Ocqzwg%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=mxccDIyEU1GelUiRJcWgg%2FVJlGEVclx47JWT6mAdtnue%2BofXOczLeJoAr8GosrCHjB2%2BaXYu5%2BOwqoikQwTjNg%3D%3D
12,24421,CN,051,University of Nebraska Lincoln,AA LEUPOLD AGREEMENT W STADIUM SUITE PAINTING,"$3,200.00",07/25/2014,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=u2%2FfIHEAREIEQKBAWLywsg%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=mxccDIyEU1GelUiRJcWgg%2FVJlGEVclx47JWT6mAdtnshSPyJUK5NawpJLfbNGnTS
13,23505,CN,051,University of Nebraska Lincoln,AA LEUPOLD UP AGREEMENT 18785,"$1,045.00",06/01/2018,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=Xkhbd9i%2B1ioYm2wL4x46fQ%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=GJPdptxUNu0N3AVDZ3YRjJUNeOmKS8l0bVoUgW707%2Bs%3D
14,23512,CN,051,University of Nebraska Lincoln,AA LEUPOLD UP AGREEMENT 18785,"$1,045.00",04/01/2018,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=1dkmWrv27QBbA3h%2Fm4qAmA%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=GJPdptxUNu0N3AVDZ3YRjJUNeOmKS8l0bVoUgW707%2Bs%3D
15,23727,CN,051,University of Nebraska Lincoln,AA LEUPOLD AGREEMENT C050,"$3,600.00",01/09/2017,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=sV67cAvYQGaRsEZYj2dTvQ%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=mxccDIyEU1GelUiRJcWggwVEPPtgCnpN0Rna7GTM3EA%3D
16,23818,CN,051,University of Nebraska Lincoln,AA LEUPOLD AGREEMENT C502,"$9,205.00",08/05/2016,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=nbatQwUcwIG9%2BFpwTHOynw%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=mxccDIyEU1GelUiRJcWgg1Gc%2BqX15q%2FBSentmPWfWX0%3D
17,23863,CN,051,University of Nebraska Lincoln,AA LEUPOLD AGREEMENT C021,"$8,380.00",12/09/2015,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=6YD%2FzvHSajXyyVy%2Fgyu9UA%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=mxccDIyEU1GelUiRJcWggx0WHvjljxJDTzmaftRrCZk%3D
18,23893,CN,051,University of Nebraska Lincoln,AA LEUPOLD AGREEMENT C100,"$1,797.50",04/11/2016,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=81fSS8j2b7RGG2JkZE%2BncA%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=mxccDIyEU1GelUiRJcWgg84uz%2FYnsZOOZ2lTZ7PklYw%3D
19,24005,CN,051,University of Nebraska Lincoln,AA LEUPOLD AGREEMENT C200,"$2,120.00",07/18/2017,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=QyMMqx1PrJVR3XxmvQz9rQ%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=mxccDIyEU1GelUiRJcWgg92Zk2gFfgK6CtgQnaw9zlo%3D
20,24006,CN,051,University of Nebraska Lincoln,AA LEUPOLD AGREEMENT PBA PAINTED DISPLAYS,"$3,460.00",10/15/2015,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=01spAnj4PmwpvbmUI%2FZ7Vg%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=mxccDIyEU1GelUiRJcWgg4Cc63228CaGa%2FgXSs9lWGPQi9b6mDHnMjKHOxuf5eEl
0,39783,CN,051,University of Nebraska Lincoln,"UNO DATABASE RONCO CONSTRUCTION COMPANY, INC.13751","$1,691,098.01",09/15/2022,07/15/2024,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=BamaALvCuemb6IC0WhjtXg%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=pg6m8hejDiGDRNIZOBH4T2kaT5phWPtN3dmEtQmyOx2ez2UG%2FIPEYi0Fyjy4SDPFWv6fIox2zXli6PAakPc4ZA%3D%3D
1,58-1-4466,CN,051,University of Nebraska Lincoln,LIFESCAPE REHABILITATION CENTER SIOUX FALLS SD,$0.00,05/12/2019,08/02/9999,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=uR4gsZXFxXzRe45aZihtWg%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=l5ONWyR2bNtKy%2B2Qq1OMW1cIH1qAezFC76XE1Hi3VGABUydOoAtGoSUg6gAvVm9L
2,58-1-4565,CN,051,University of Nebraska Lincoln,MADONNA REHABILITATION HOSPITAL,$0.00,04/01/2019,08/03/9999,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=SV4cwoP75oDGQvqkjPcHTA%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=nBAzuWmPrW8ZzCG1pHXNXePjHDmpu%2FOTGvHoacK%2BiV4%3D
3,41518,CN,051,University of Nebraska Lincoln,CHARLES RIVER LABS,"$4,127.00",07/26/2023,12/31/2023,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=svizpPQLFSfbh2Oe57eswg%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=%2FmB%2BuZFErG%2BbvtCuVdoqzHDd52LK5ClL7%2FqYhs1ts6Y%3D
4,58-1-2861,CN,051,University of Nebraska Lincoln,GENESIS ELDERCARE REHABILITATION SERVICES,$0.00,01/03/2018,01/02/9999,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=RRLsP2gUKfgGt59HRrDZmw%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=VJuXwTxcQKolEW7i57RgGpyjtzmByiYMGdgBggqff%2BAElqRZhTjPKOjtqUQAISfs
5,58-1-2911,CN,051,University of Nebraska Lincoln,REHABILITATION ASSOCIATES,$0.00,12/06/2017,12/06/9999,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=hSBg%2Fj9av4Wa8FfEBQF4Ww%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=tCQ6ynhakA5lMBjDEJyYHC5YWPdKQTDZHmwIxm2IqUE%3D
6,41287,CN,051,University of Nebraska Lincoln,CHARLES RIVER LABS,"$4,127.00",05/26/2023,12/31/2023,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=RswAVVLvOLNTiwRwChrztA%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=%2FmB%2BuZFErG%2BbvtCuVdoqzHDd52LK5ClL7%2FqYhs1ts6Y%3D
7,40344,CN,051,University of Nebraska Lincoln,ELIZABETH GRATCH,"$1,296.25",12/21/2022,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=3zzrYFZQiycG6lDY80K%2FVg%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=lthEeK200wQJSuzrUNPkjYEc0vtgZsFuvzWM3WAJ2Jg%3D
8,39879,CN,051,University of Nebraska Lincoln,ELIZABETH GRATCH,"$1,593.75",11/14/2022,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=qGSzLldCQvLcDHnZLwrYBA%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=lthEeK200wQJSuzrUNPkjYEc0vtgZsFuvzWM3WAJ2Jg%3D
9,39581,CN,051,University of Nebraska Lincoln,ELIZABETH GRATCH,"$1,253.75",08/03/2022,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=k%2FztXEyMkCxYEsI17RCvew%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=lthEeK200wQJSuzrUNPkjYEc0vtgZsFuvzWM3WAJ2Jg%3D
10,39075,CN,051,University of Nebraska Lincoln,ELIZABETH GRATCH,"$1,096.50",07/05/2022,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=2wuIVrJgOCGU60YkBYq6ew%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=lthEeK200wQJSuzrUNPkjYEc0vtgZsFuvzWM3WAJ2Jg%3D
11,38829,CN,051,University of Nebraska Lincoln,ELIZABETH GRATCH,"$1,355.75",04/15/2022,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=SvyCws2VT8Zr82FCw%2FAYrg%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=lthEeK200wQJSuzrUNPkjYEc0vtgZsFuvzWM3WAJ2Jg%3D
12,38830,CN,051,University of Nebraska Lincoln,ELIZABETH GRATCH,"$1,372.75",03/07/2022,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=oJoJJ8cTDHy1jOb0mZgGSw%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=lthEeK200wQJSuzrUNPkjYEc0vtgZsFuvzWM3WAJ2Jg%3D
13,38049,CN,051,University of Nebraska Lincoln,ELIZABETH CROWLEY WEBBER,"$1,487.50",03/14/2022,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=L8Aa1DfbJ%2BW3IvRNvzaubg%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=JIkEgj1ucZ7u0uJuCYNurXM8L3C2IVmp1OHGRvLkl1g%3D
14,37679,CN,051,University of Nebraska Lincoln,ELIZABETH GRATCH,"$1,743.00",02/10/2022,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=WFGq%2BJhZyIwG3SXjDGqXPA%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=lthEeK200wQJSuzrUNPkjYEc0vtgZsFuvzWM3WAJ2Jg%3D
15,58-1-5762,CN,051,University of Nebraska Lincoln,"NEIMAND COLLABORATIVE, INC.","$2,000,000.00",12/01/2021,04/30/2024,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=Bbvw3AgMuCz2BEZVyFIpmg%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=bDFCsqf%2BmpxuLz5YjQ1hNifvaStXElAkShqZkLc5VQU%3D
16,36951,CN,051,University of Nebraska Lincoln,ELIZABETH GRATCH,"$1,398.25",10/27/2021,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=maemJyTgQHUObrhCtWHR4w%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=lthEeK200wQJSuzrUNPkjYEc0vtgZsFuvzWM3WAJ2Jg%3D
17,36440,CN,051,University of Nebraska Lincoln,INNOVATIVE LAB SYSTEMS,"$3,394.58",09/16/2021,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=6Xn359TzFJ7wskyAI6uSJQ%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=r7JxenMDtt2AU3RZNfPEwzxLVnJSyIZR0%2FMFtfGEGHc%3D
18,36441,CN,051,University of Nebraska Lincoln,INNOVATIVE LAB SYSTEMS,"$3,394.58",09/16/2021,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=GVxeyRnbCDcAnIcrBSrdaA%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=r7JxenMDtt2AU3RZNfPEwzxLVnJSyIZR0%2FMFtfGEGHc%3D
19,36458,CN,051,University of Nebraska Lincoln,MICHAEL TABER,"$2,016.00",02/15/2021,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=PUSSvKiVn3wVu1LVWdN%2FUA%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=h2ObTMxbq2A0aS610nAaWQ%3D%3D
20,36489,CN,051,University of Nebraska Lincoln,ELIZABETH GRATCH,"$3,708.00",04/08/2021,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=LWiGf6zgxSfE%2BNd3EN9Vvw%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=lthEeK200wQJSuzrUNPkjYEc0vtgZsFuvzWM3WAJ2Jg%3D
21,36508,CN,051,University of Nebraska Lincoln,ELIZABETH GRATCH,"$1,457.75",11/02/2020,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=WhCS0kbm8ftmZU08KUYf%2BA%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=lthEeK200wQJSuzrUNPkjYEc0vtgZsFuvzWM3WAJ2Jg%3D
